open_time,open,high,low,close,volume
2026-06-30T16:00:00+00:00,58366.89000000,58599.49000000,58227.64000000,58477.96000000,1.39897000
2026-06-30T17:00:00+00:00,58477.96000000,58627.34000000,58320.98000000,58413.31000000,0.19994000
2026-06-30T18:00:00+00:00,58416.29000000,58675.76000000,58341.31000000,58675.76000000,4.77672000
2026-06-30T19:00:00+00:00,58674.93000000,58845.19000000,58588.16000000,58805.50000000,1.42525000
2026-06-30T20:00:00+00:00,58762.25000000,58869.56000000,58675.76000000,58762.04000000,0.56254000
2026-06-30T21:00:00+00:00,58732.60000000,58742.58000000,58528.23000000,58633.72000000,0.21407000
2026-06-30T22:00:00+00:00,58675.76000000,58762.25000000,58507.73000000,58602.20000000,0.31709000
2026-06-30T23:00:00+00:00,58613.68000000,58672.13000000,58582.39000000,58632.52000000,0.18655000
2026-07-01T00:00:00+00:00,58631.51000000,58745.82000000,58355.37000000,58570.24000000,0.35866000
2026-07-01T01:00:00+00:00,58580.35000000,59100.00000000,57800.00000000,58780.56000000,6.56315000
2026-07-01T02:00:00+00:00,58775.11000000,59177.06000000,58624.27000000,59108.21000000,5.14528000
2026-07-01T03:00:00+00:00,59064.96000000,59304.32000000,58868.77000000,59187.89000000,4.70349000
2026-07-01T04:00:00+00:00,59163.77000000,59443.38000000,59069.07000000,59327.54000000,1.11479000
2026-07-01T05:00:00+00:00,59324.43000000,59369.91000000,59132.52000000,59139.39000000,0.85510000
2026-07-01T06:00:00+00:00,59151.45000000,59156.41000000,58543.30000000,58733.63000000,0.59537000
2026-07-01T07:00:00+00:00,58753.73000000,58773.18000000,58617.42000000,58750.89000000,1.05143000
2026-07-01T08:00:00+00:00,58755.17000000,58952.07000000,58486.04000000,58952.07000000,0.43451000
2026-07-01T09:00:00+00:00,58952.14000000,59064.96000000,58856.69000000,58935.23000000,0.19898000
2026-07-01T10:00:00+00:00,58923.94000000,58923.94000000,58632.53000000,58650.00000000,0.47311000
2026-07-01T11:00:00+00:00,58655.61000000,58752.82000000,58529.00000000,58563.61000000,0.82754000
2026-07-01T12:00:00+00:00,58632.52000000,58640.22000000,58330.14000000,58566.97000000,6.99376000
2026-07-01T13:00:00+00:00,58544.67000000,59492.46000000,58544.67000000,59492.46000000,3.73836000
2026-07-01T14:00:00+00:00,59454.16000000,60075.00000000,59228.74000000,59516.96000000,17.69606000
2026-07-01T15:00:00+00:00,59540.66000000,60515.31000000,59519.88000000,60157.22000000,4.84016000
2026-07-01T16:00:00+00:00,60151.23000000,60256.05000000,59868.54000000,59887.49000000,3.64425000
2026-07-01T17:00:00+00:00,59901.61000000,60235.95000000,59799.80000000,60184.75000000,0.57472000
2026-07-01T18:00:00+00:00,60180.87000000,60283.49000000,60034.38000000,60158.21000000,0.61418000
2026-07-01T19:00:00+00:00,60189.32000000,60319.06000000,60031.13000000,60031.13000000,0.25755000
2026-07-01T20:00:00+00:00,60044.65000000,60189.32000000,59852.47000000,60118.16000000,7.97377000
2026-07-01T21:00:00+00:00,60128.72000000,60859.60000000,60128.72000000,60815.70000000,3.39626000
2026-07-01T22:00:00+00:00,60824.66000000,61321.46000000,60354.06000000,60490.86000000,7.41181000
2026-07-01T23:00:00+00:00,60461.78000000,60461.78000000,60000.00000000,60033.87000000,5.58283000
2026-07-02T00:00:00+00:00,60016.35000000,60016.35000000,59593.67000000,59704.00000000,0.98774000
2026-07-02T01:00:00+00:00,59755.09000000,60308.22000000,59726.68000000,60171.72000000,0.66538000
2026-07-02T02:00:00+00:00,60188.61000000,60480.00000000,60037.18000000,60442.68000000,0.83744000
2026-07-02T03:00:00+00:00,60430.61000000,61110.55000000,60341.78000000,61054.21000000,0.89960000
2026-07-02T04:00:00+00:00,61013.13000000,61031.80000000,60739.15000000,60794.75000000,0.43356000
2026-07-02T05:00:00+00:00,60791.25000000,60866.35000000,60485.82000000,60535.28000000,4.59276000
2026-07-02T06:00:00+00:00,60503.68000000,60628.12000000,60267.68000000,60275.81000000,0.42670000
2026-07-02T07:00:00+00:00,60257.20000000,60298.47000000,60117.97000000,60129.92000000,0.33331000
2026-07-02T08:00:00+00:00,60133.46000000,60535.40000000,60133.46000000,60508.87000000,0.28104000
2026-07-02T09:00:00+00:00,60508.89000000,61422.60000000,60385.74000000,61190.43000000,11.77339000
2026-07-02T10:00:00+00:00,61183.95000000,61326.05000000,61060.19000000,61260.18000000,1.13073000
